"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Gramsci and Marxist Theory (RLE: Gramsci)|http://books.google.com/books?hl=en&lr=&id=7L5wAwAAQBAJ&oi=fnd&pg=PP1&dq=+-calcul+Chantal&ots=1usj-7wLM8&sig=Vv0tvMvwjrLIDLjgOkY3bXRGKhM|2014|442|4|13914153310065711684|None|http://scholar.google.com/scholar?cites=13914153310065711684&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13914153310065711684&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|This book familiarizes the English-speaking reader with the debate on the originality of Gramsci's thought and its importance for the development of Marxist theory. The contributors present the principal viewpoints regarding Gramsci's theoretical contribution to Marxism,  ...","Chantal Mérette","2014","none"
"3","Caractérisation du standard d'eau de rivière SLRS-5 (NRC-CNRC) compilation interlaboratoire du silicium, des terres rares et de 21 autres éléments en trace|http://scholar.google.com/https://hal-insu.archives-ouvertes.fr/insu-01080879/|2014|0|2|None|None|None|http://scholar.google.com/scholar?cluster=5013944373656557983&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Le standard d'eau de rivière naturelle SLRS-5 (NRC-CNRC) est une référence de contrôle qualité en analyse d'eau de routine pour la communauté internationale. Dix laboratoires français étudiant les éléments majeurs et en trace dans les solutions naturelles (groupe  ...","Chantal Mérette","2014","none"
"4","Middle East respiratory syndrome coronavirus neutralising serum antibodies in dromedary camels: a comparative serological study|http://www.sciencedirect.com/science/article/pii/S1473309913701646|2013|253|13|3761637667448986090|None|http://scholar.google.com/scholar?cites=3761637667448986090&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=3761637667448986090&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background A new betacoronavirus—Middle East respiratory syndrome coronavirus (MERS-CoV)—has been identified in patients with severe acute respiratory infection. Although related viruses infect bats, molecular clock analyses have been unable to identify direct  ...","Chantal Mérette","2014","none"
"5","Positively charged microbubbles to target nucleic acid delivery with ultrasound|http://scholar.google.com/https://hal-descartes.archives-ouvertes.fr/inserm-01154976/|2015|0|3|None|None|None|http://scholar.google.com/scholar?cluster=16025990082741937237&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Nucleic acid delivery in vivo via physical means or non-viral vectors still need improvements in particular to reach deep tissues. Sonoporation is highly advantageous for this purpose as ultrasound can be focalised to a particular tissue leading to targeted gene delivery,  ...","Chantal Mérette","2014","none"
"6","Combination of antidepressant medications from treatment initiation for major depressive disorder: a double-blind randomized study|http://ajp.psychiatryonline.org/doi/10.1176/appi.ajp.2009.09020186|2014|209|10|15786786548307928222|None|http://scholar.google.com/scholar?cites=15786786548307928222&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=15786786548307928222&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Objective Various classes of antidepressant medications generally induce remission of major depressive disorder in only about one-third of patients. In a previous study using mirtazapine or paroxetine alone or in combination from treatment initiation, the rate of  ...","Chantal Mérette","2014","none"
"7","Global, regional, and national disability-adjusted life years (DALYs) for 306 diseases and injuries and healthy life expectancy (HALE) for 188 countries, 1990–2013:  …|http://www.sciencedirect.com/science/article/pii/S014067361561340X|2015|0|0|None|None|None|None|None|Background The Global Burden of Disease Study 2013 (GBD 2013) aims to bring together all available epidemiological data using a coherent measurement framework, standardised estimation methods, and transparent data sources to enable comparisons of health loss  ...","Chantal Mérette","2014","none"
"8","MAGI3-AKT3 fusion in breast cancer amended|http://www.nature.com/nature/journal/v520/n7547/full/nature14265.html|2015|1|3|14303920112941152565|None|http://scholar.google.com/scholar?cites=14303920112941152565&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=14303920112941152565&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Banerji et al. 1 described a novel MAGI3–AKT3 rearrangement in breast cancer, enriched in triple-negative tumours; the report was highly encouraging as targeted therapies could potentially serve as a new and much needed option to treat this highly aggressive breast  ...","Chantal Mérette","2014","none"
"9","Middle East respiratory syndrome coronavirus in dromedary camels: an outbreak investigation|http://www.sciencedirect.com/science/article/pii/S147330991370690X|2014|173|11|11738762928669461398|None|http://scholar.google.com/scholar?cites=11738762928669461398&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=11738762928669461398&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background Middle East respiratory syndrome coronavirus (MERS-CoV) causes severe lower respiratory tract infection in people. Previous studies suggested dromedary camels were a reservoir for this virus. We tested for the presence of MERS-CoV in dromedary  ...","Chantal Mérette","2014","none"
"10","The intestinal microbiota modulates the anticancer immune effects of cyclophosphamide|http://www.sciencemag.org/content/342/6161/971.short|2013|147|19|13801489476735022081|None|http://scholar.google.com/scholar?cites=13801489476735022081&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13801489476735022081&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Cyclophosphamide is one of several clinically important cancer drugs whose therapeutic efficacy is due in part to their ability to stimulate antitumor immune responses. Studying mouse models, we demonstrate that cyclophosphamide alters the composition of  ...","Chantal Mérette","2014","none"
"11","Global, regional, and national levels and causes of maternal mortality during 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013|http://www.sciencedirect.com/science/article/pii/S0140673614606966|2014|190|27|17848896473580482145|None|http://scholar.google.com/scholar?cites=17848896473580482145&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=17848896473580482145&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background The fifth Millennium Development Goal (MDG 5) established the goal of a 75% reduction in the maternal mortality ratio (MMR; number of maternal deaths per 100 000 livebirths) between 1990 and 2015. We aimed to measure levels and track trends in  ...","Chantal Mérette","2014","none"
