"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Introduction|http://www.cairn.info/revue-d-economie-du-developpement-2012-4-page-7.htm|2013|129|5|8835128021397948682|None|http://scholar.google.com/scholar?cites=8835128021397948682&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=8835128021397948682&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Au nom du Réseau Européen de Recherche sur le Développement, permettez-moi de vous souhaiter également la bienvenue à cette neuvième conférence sur le développement de l'AFD-EUDN. Celle-ci promet d'être un très grand événement sur le thème de l'évaluation  ...","François Gélineau","2014","none"
"3","Stratigraphie, tectonique et minéralisations dans l'Arc cuprifère du Shaba (République du Zaïre)|http://popups.ulg.ac.be/0037-9395/index.php?id=3465|2013|90|2|1625399906393529450|None|http://scholar.google.com/scholar?cites=1625399906393529450&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=1625399906393529450&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé L'Arc cuprifère du Shaba constitue un district minier polymétallique important, localisé dans les roches du système katangien (Précambrien récent). Les divers faciès stratigraphiques et les phases tectoniques sont brièvement résumés. Les différentes  ...","François Gélineau","2014","none"
"4","Economics of agglomeration: cities, industrial location, and globalization|http://books.google.com/books?hl=en&lr=&id=w-Jm5K_PSGcC&oi=fnd&pg=PR11&dq=+-calcul+Fran%C3%A7ois&ots=e22UIIqB8v&sig=dmASGVsBkSGok4yq3Lur8HB0MoU|2013|2281|5|11828404583578773253|None|http://scholar.google.com/scholar?cites=11828404583578773253&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=11828404583578773253&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Economic activities are not concentrated on the head of a pin, nor are they spread evenly over a featureless plane. On the contrary, they are distributed very unequally across locations, regions, and countries. Even though economic activities are, to some extent,  ...","François Gélineau","2014","none"
"5","Systems and software verification: model-checking techniques and tools|http://books.google.com/books?hl=en&lr=&id=xJGqCAAAQBAJ&oi=fnd&pg=PA5&dq=+-calcul+Fran%C3%A7ois&ots=qgs7HqaPLG&sig=dxbKOM5rWaCWP8cK-Od35-4f-m4|2013|805|6|12084227213603060839|None|http://scholar.google.com/scholar?cites=12084227213603060839&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=12084227213603060839&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Model checking is a powerful approach for the formal verification of software. It automatically provides complete proofs of correctness, or explains, via counter-examples, why a system is not correct. Here, the author provides a well written and basic introduction to the new  ...","François Gélineau","2014","none"
"6","Modélisation d'accompagnement: systèmes multi-agents et gestion des ressources renouvelables|http://www.cairn.info/rendre-possible--9782759219742-page-147.htm|2013|52|6|8511521309848490134|None|http://scholar.google.com/scholar?cites=8511521309848490134&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=8511521309848490134&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Dans le cadre de la réflexion actuelle sur le développement soutenable, se posent avec acuité les problèmes d'accès et d'usage des ressources renouvelables. Il s' agit pour les scientifiques d'aborder la question de l'interaction de dynamiques écologiques et de  ...","François Gélineau","2014","none"
"7","SOCIETE CIVILE S HISTOIRE D, AN MOT|http://www.societologie.ca/Articles/Sociologie/Francois_Rangeon_Histoire_d_un_mot_Societe.pdf|2013|58|5|4480660821914835174|http://www.societologie.ca/Articles/Sociologie/Francois_Rangeon_Histoire_d_un_mot_Societe.pdf|http://scholar.google.com/scholar?cites=4480660821914835174&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=4480660821914835174&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|La société civile est une des notions les plus ambiguës du débat politigue actuel. Pour les uns, la société civile se definit par opposition à l'Etat: le programme libéral, dit G. Sorman doit< retracer en clair la frontière"" oi"""" I'Etut et la société civile> l, la société civile étant I' ...","François Gélineau","2014","none"
"8","European LeukemiaNet recommendations for the management of chronic myeloid leukemia: 2013|http://www.bloodjournal.org/content/122/6/872?variant=full-text|2013|406|10|10977308088695215254|None|http://scholar.google.com/scholar?cites=10977308088695215254&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=10977308088695215254&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Advances in chronic myeloid leukemia treatment, particularly regarding tyrosine kinase inhibitors, mandate regular updating of concepts and management. A European LeukemiaNet expert panel reviewed prior and new studies to update recommendations  ...","François Gélineau","2014","none"
"9","Réduction de dose en scanographie thoracique: évaluation de deux générations d'algorithmes de reconstruction itérative en pathologie respiratoire|http://www.theses.fr/2013LIL2S016|2013|0|0|None|None|None|None|None|Résumé Parmi les outils de réduction de dose d'exposition en scanner, le plus récent est l'emploi des Reconstructions Itératives (RI). Ces nouveaux algorithmes permettent de corriger de façon répétée les données d'acquisition par modélisation, rendant  ...","François Gélineau","2014","none"
"10","PO24 L'analyse métagénomique du microbiome intestinal de souris obèses traitées avec des prébiotiques a permis de mettre en évidence de nouvelles cibles  …|http://www.sciencedirect.com/science/article/pii/S1262363614722827|2014|0|4|None|None|None|http://scholar.google.com/scholar?cluster=16408758035647628680&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Conclusion Nous avons identifié de nouveaux taxa bactériens ainsi que des fonctions métaboliques du microbiome qui pourraient contribuer au développement et/ou à la protection contre les désordres métaboliques induits par le régime hyperlipidique et le  ...","François Gélineau","2014","none"
"11","Education thérapeutique: prévention et maladies chroniques|http://books.google.com/books?hl=en&lr=&id=zZ7x4Bn7r6UC&oi=fnd&pg=PP1&dq=+-calcul+Fran%C3%A7ois&ots=9Bs4k1ZUZc&sig=q4X1iiR9YVWok99xu9W39BQZjrY|2013|49|0|9380117897850121399|None|http://scholar.google.com/scholar?cites=9380117897850121399&as_sdt=2005&sciodt=1,5&hl=en|None|None|Depuis plusieurs années, le nombre de patients atteints de maladies chroniques ne cesse d'augmenter. Vivre avec ces maladies requiert une connaissance approfondie de ces dernières et de leurs traitements et demande également aux patients de développer leurs  ...","François Gélineau","2014","none"
