"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Introduction au calcul des probabilités et à la statistique: exercices, problèmes et corrections (2e édition)|http://scholar.google.com/https://hal.archives-ouvertes.fr/hal-00964983/|2013|4|5|9591626916612737660|None|http://scholar.google.com/scholar?cites=9591626916612737660&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=9591626916612737660&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Cet ouvrage illustre les grands concepts des probabilités et de la statistique mathématique présentés dans l'Introduction au calcul des probabilités et à la statistique, avec des exercices de modélisation et de manipulation: variables aléatoires, théorèmes  ...","Jean Bégin","2014","all"
"3","Calcul et cartographie des charges critiques azotées en France: application de la méthode empirique|http://lodel.irevues.inist.fr/pollution-atmospherique/index.php?id=2912|2014|4|3|15386054934999195363|None|http://scholar.google.com/scholar?cites=15386054934999195363&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=15386054934999195363&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé La cartographie des charges critiques azotées pour la France a été entreprise par la méthode empirique. Pour cela, une carte numérique de la nature de la végétation est nécessaire. L'absence d'une cartographie adaptée à ce besoin nous a conduit à  ...","Jean Bégin","2014","all"
"4","Calcul de la première dose d'amikacine: évaluation des recommandations posologiques actuelles|http://www.sciencedirect.com/science/article/pii/S0003450912001472|2013|0|3|None|None|None|http://scholar.google.com/scholar?cluster=14160983072126295230&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Aminoglycosides, including amikacin, are antibiotics with major interest in the management of sepsis, but with a high potential toxicity. The French national recommendations revised in 2011 recommend a dose of amikacin ranging from 15 to 30mg/kg. The objective was to  ...","Jean Bégin","2014","all"
"5","La visualisation de traces, support à l'analyse, déverminage et optimisation d'applications de calcul haute performance|http://scholar.google.com/https://hal.inria.fr/hal-01065891/|2013|1|11|4132101303258062734|None|http://scholar.google.com/scholar?cites=4132101303258062734&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=4132101303258062734&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|L'analyse du comportement d'applications logicielles est une tâche de plus en plus difficile à cause de la complexité croissante des systèmes sur lesquels elles s' exécutent. Alors que l'analyse des systèmes embarqués doit faire face à une pile logicielle complexe, celle des  ...","Jean Bégin","2014","all"
"6","Couplage non-intrusif: réanalyse locale et calcul haute performance|http://oatao.univ-toulouse.fr/13745/|2015|0|0|None|None|None|None|None|Le couplage non-intrusif permet de prendre en compte efficacement des modifications locales (non-linéarités, conditions limites, géométrie) dans un modèle initial linéaire pré-existant sans que ce dernier ne soit affecté. Ce concept est étendu au cas des non- ...","Jean Bégin","2014","all"
"7","Calcul de la tension interfaciale de mélanges gaz/eau, gaz/huile et huile/eau par simulation moléculaire|http://scholar.google.com/https://tel.archives-ouvertes.fr/tel-00962483/|2013|1|14|1269018261658371008|None|http://scholar.google.com/scholar?cites=1269018261658371008&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=1269018261658371008&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|La prédiction de valeurs de tension interfaciale des fluides est capitale dans de nombreuses applications industrielles. Les techniques de simulation moléculaire et l'évolution rapide des moyens de calcul intensif permettent depuis quelques années de prédire des valeurs de  ...","Jean Bégin","2014","all"
"8","La stabilité du navire: Théorie, réglementation, méthodes de calcul, Cours et exercices corrigés|http://scholar.google.com/https://hal.archives-ouvertes.fr/hal-00858851/|2013|0|3|None|None|None|http://scholar.google.com/scholar?cluster=6455365405549004094&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|La stabilité du navire, clé de voûte de l'architecture navale, est un vaste domaine qui reflète toute la complexité des navires. Le présent ouvrage en présente tous les aspects. Le livre traite d'abord de la théorie de la stabilité. Puis il présente la réglementation s' appliquant  ...","Jean Bégin","2014","all"
"9","CALCUL DES LIMITES DE VOLUME D'EAU A RESPECTER DANS LES RESERVOIRS YONNE, SEINE, AUBE ET MARNE EN FONCTION DES OBJECTIFS DE …|http://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers13-06/010059287.pdf|2013|0|2|None|http://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers13-06/010059287.pdf|None|http://scholar.google.com/scholar?cluster=3009871274553408929&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Le problème abordé ici concerne les limitations inférieures ou supérieures du volume d'eau qu'il convient de respecter dans différents réservoirs à un instant donné, pour qu'il soit possible par la suite de satisfaire du mieux possible, à l'aide de ceux-ci, un objectif  ...","Jean Bégin","2014","all"
"10","Identification d'erreurs de calcul de moyenne chez des étudiants de Master 2 en Sciences humaines et sociales.|http://scholar.google.com/https://hal.inria.fr/hal-01117064/document|2015|0|10|None|None|None|http://scholar.google.com/scholar?cluster=8744449838589743964&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Une notion aussi élémentaire que la moyenne arithmétique peut produire des erreurs et engendrer des difficultés auprès d'étudiants de sciences humaines et sociales. Il est admis que ce public dans sa majorité s' est forgé une opinion négative à l'encontre de la  ...","Jean Bégin","2014","all"
"11","Simplification du calcul de la rigidité des poteaux dans la méthode des portiques équivalents|http://savoirs.usherbrooke.ca/handle/11143/6202|2013|0|0|None|None|None|None|None|Le calcul d'une dalle bidirectionnelle est un processus long et complexe demandant une certaine expérience. La norme CSA A23. 3-04 suggère deux méthodes: la méthode directe et la méthode du portique équivalent. La première est efficace pour certaines géométries ( ...","Jean Bégin","2014","all"
"12","Calcul du risque de trisomie 21 fœtale: comparaison du logiciel Fast Screen pre I plus avec le logiciel ViewPoint. Évaluation des algorithmes de calcul|http://www.jle.com/fr/revues/abc/e-docs/calcul_du_risque_de_trisomie_21_ftale_comparaison_du_logiciel_fast_screen_pre_i_plus_avec_le_logiciel_viewpoint._valuation_des_algorithmes_de_calcul_295358/article.phtml|2013|0|3|None|None|None|http://scholar.google.com/scholar?cluster=8592815816234337080&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé. La Fédération allemande de médecine fœtale a mis au point un nouvel algorithme nommé Prenatal Risk Calculation pour le calcul du risque de trisomie 21 fœtale à partir de la fraction libre de l'hCG, de la PAPP-A et de la clarté nucale. Cet algorithme a la  ...","Jean Bégin","2014","all"
"13","Mot-clé-512. À LA RECHERCHE DU NEODOCUMENT; Les paradoxes du néodocument; Lecture et calcul-Economie du document (Bloc-notes de Jean- …|http://blogues.ebsi.umontreal.ca/jms/index.php/tag/512.%20%C3%80%20LA%20RECHERCHE%20DU%20NEODOCUMENT%20%3B%20Les%20paradoxes%20du%20n%C3%A9odocument%20%3B%20Lecture%20et%20calcul|2014|0|0|None|None|None|None|None|En écho aux interventions de D. Cardon et D. Kaplan au colloque archinfo et au webinaire Pédauque sur l'importance d'analyser de l'intérieur les conséquences de l'algorithme de recherche de Google, voici un article de Tarleton Gillepsie qui pose clairement la question  ...","Jean Bégin","2014","all"
"14","Calcul analytique de l'inductance mutuelle entre deux bobines circulaires à noyau supraconducteur|http://scholar.google.com/https://hal.archives-ouvertes.fr/hal-01159810/|2015|0|0|None|None|None|None|None|Le développement des cryo-aimants à base de supraconducteurs de type REBaCuO pouvant générer jusqu'à 17 T nécessite la mise en œuvre d'un système d'aimantation, parfois impulsionnelle, et donc d'une ou plusieurs bobines autour d'un matériau  ...","Jean Bégin","2014","all"
