"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Model-based fault diagnosis in dynamic systems using identification techniques|http://books.google.com/books?hl=en&lr=&id=Fs_TBwAAQBAJ&oi=fnd&pg=PR15&dq=+-calcul+Silvio&ots=I8tq8usyoi&sig=W2OU79KBu8bz61iqBaL-Dbcicjs|2013|509|7|13640180778734413391|None|http://scholar.google.com/scholar?cites=13640180778734413391&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13640180778734413391&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Safety in industrial process and production plants is a concern of rising importance, especially if people would be endangered by a catastrophic system failure. On the other hand, because the control devices which are now exploited to improve the overall  ...","Silvio José Gumière","2014","none"
"3","Vedolizumab as induction and maintenance therapy for ulcerative colitis|http://www.nejm.org/doi/full/10.1056/nejmoa1215734|2013|267|13|1762620357202279296|None|http://scholar.google.com/scholar?cites=1762620357202279296&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=1762620357202279296&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|We conducted two integrated randomized, double-blind, placebo-controlled trials of vedolizumab in patients with active disease. In the trial of induction therapy, 374 patients (cohort 1) received vedolizumab (at a dose of 300 mg) or placebo intravenously at weeks 0 and 2, and 521  ... ","Silvio José Gumière","2014","none"
"4","Watchdog journalism in South America: News, accountability, and democracy|http://books.google.com/books?hl=en&lr=&id=oyjz838PVaAC&oi=fnd&pg=PR9&dq=+-calcul+Silvio&ots=vheJi4qQCN&sig=774AA49A58KJqJBdujbuKdVH2_U|2013|308|2|11605175512622218295|None|http://scholar.google.com/scholar?cites=11605175512622218295&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=11605175512622218295&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Since the 1980s, investigative journalism has undergone startling development in South America, where repressive regimes have long relegated such reporting to marginal publications or underground outlets. Watchdog Journalism in South America explores the  ...","Silvio José Gumière","2014","none"
"5","Management of hyperglycemia in type 2 diabetes, 2015: a patient-centered approach: update to a position statement of the American Diabetes Association and the  …|http://care.diabetesjournals.org/content/38/1/140.short|2015|181|18|1403986161119617880|None|http://scholar.google.com/scholar?cites=1403986161119617880&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=1403986161119617880&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|In 2012, the American Diabetes Association (ADA) and the European Association for the Study of Diabetes (EASD) published a position statement on the management of hyperglycemia in patients with type 2 diabetes (1, 2). This was needed because of an  ...","Silvio José Gumière","2014","none"
"6","Second European evidence-based consensus on the diagnosis and management of ulcerative colitis part 3: special situations|http://www.sciencedirect.com/science/article/pii/S1873994612004060|2013|167|14|8012672537957969519|None|http://scholar.google.com/scholar?cites=8012672537957969519&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=8012672537957969519&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|None","Silvio José Gumière","2014","none"
"7","Towards a framework that promotes integration between the UX design and SCRUM, Aligned to CMMI|http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=7170443|2015|0|0|None|None|None|None|None|Abstract—This paper proposes a framework to integrate user experience design into the software development cycle. The proposal defines practices, principles, techniques and artifacts of user experience in organizations that use agile methodologies (SCRUM) in  ...","Silvio José Gumière","2014","none"
"8","The emerging mutational landscape of G proteins and G-protein-coupled receptors in cancer|http://www.nature.com/nrc/journal/v13/n6/abs/nrc3521.html|2013|63|8|5260686149307746215|None|http://scholar.google.com/scholar?cites=5260686149307746215&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=5260686149307746215&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Aberrant expression and activity of G proteins and G-protein-coupled receptors (GPCRs) are frequently associated with tumorigenesis. Deep sequencing studies show that 4.2% of tumours carry activating mutations in GNAS (encoding G α s), and that oncogenic  ...","Silvio José Gumière","2014","none"
"9","SGLT-2 inhibitors and cardiovascular risk: Proposed pathways and review of ongoing outcome trials|http://dvr.sagepub.com/content/12/2/90.short|2015|18|6|5471906746393954189|None|http://scholar.google.com/scholar?cites=5471906746393954189&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=5471906746393954189&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Given the multi-faceted pathogenesis of atherosclerosis in type 2 diabetes mellitus (T2DM), it is likely that interventions to mitigate this risk must address cardiovascular (CV) risk factors beyond glucose itself. Sodium glucose cotransporter-2 (SGLT-2) inhibitors are  ...","Silvio José Gumière","2014","none"
"10","Detection of circulating tumor DNA in early-and late-stage human malignancies|http://stm.sciencemag.org/content/6/224/224ra24.short|2014|211|13|3985254756830939879|None|http://scholar.google.com/scholar?cites=3985254756830939879&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=3985254756830939879&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract The development of noninvasive methods to detect and monitor tumors continues to be a major challenge in oncology. We used digital polymerase chain reaction–based technologies to evaluate the ability of circulating tumor DNA (ctDNA) to detect tumors in  ...","Silvio José Gumière","2014","none"
"11","Deleuze & a educação|http://books.google.com/books?hl=en&lr=&id=ndMGLCocRlsC&oi=fnd&pg=PA9&dq=+-calcul+Silvio&ots=D-nlePSNbj&sig=2vcVQeOIf1eIsHZEwV-aK1RQr68|2013|397|2|15323838290111336784|None|http://scholar.google.com/scholar?cites=15323838290111336784&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=15323838290111336784&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|... Funcionários 30140-071 . Belo Horizonte . MG Tel: (55 31) 3222 6819 TELEVENDAS: 0800 28313 22 www.autenticaeditora.com.br e-mail: autentica@autenticaeditora.com.br Gallo, Silvio G172dDeleuze & a Educação/ Sílvio Gallo . – 2. ed. – Belo Horizonte : Autêntica , 2008. ...","Silvio José Gumière","2014","none"
