"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010|http://www.sciencedirect.com/science/article/pii/S0140673612616894|2013|2229|39|395819335955089242|None|http://scholar.google.com/scholar?cites=395819335955089242&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=395819335955089242&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|BACKGROUND: Measuring disease and injury burden in populations requires a composite metric that captures both premature mortality and the prevalence and severity of ill-health. The 1990 Global Burden of Disease study proposed disability-adjusted life years (DALYs)  ...","Sébastien Boisvert","2014","none"
"3","Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010|http://www.sciencedirect.com/science/article/pii/S0140673612617292|2013|1536|39|2554426335996093859|None|http://scholar.google.com/scholar?cites=2554426335996093859&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=2554426335996093859&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|BACKGROUND: Non-fatal health outcomes from diseases and injuries are a crucial consideration in the promotion and monitoring of individual and population health. The Global Burden of Disease (GBD) studies done in 1990 and 2000 have been the only  ...","Sébastien Boisvert","2014","none"
"4","Revue comparative de sciences sociales|http://www.swissinternationalstudies.ch/system/files/sarkar_article_critiqueinternationale_fr.pdf|2014|0|3|None|http://www.swissinternationalstudies.ch/system/files/sarkar_article_critiqueinternationale_fr.pdf|None|http://scholar.google.com/scholar?cluster=2721158774643276182&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Commission indienne de l'énergie atomique (AEC), écrivit à Frédéric Joliot-Curie, directeur du Commissariat français à l'énergie atomique (CEA), pour lui dire sa joie de l'accord récemment conclu entre Indian Rare Earths et la Société de produits chimiques des terres  ...","Sébastien Boisvert","2014","none"
"5","Accélérateurs à plasma laser: principes et applications|http://www.refletsdelaphysique.fr/articles/refdp/abs/2013/02/refdp201333p23/refdp201333p23.html|2013|2|3|17592864063549483368|None|http://scholar.google.com/scholar?cites=17592864063549483368&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=17592864063549483368&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé En transmettant, à des faisceaux d'électrons ou à des faisceaux de rayons X, les propriétés des impulsions lasers, les physiciens sont capables aujourd'hui de réaliser des accélérateurs à plasma compacts et compétitifs, délivrant des faisceaux de particules ou  ...","Sébastien Boisvert","2014","none"
"6","Les GTPases Mx: irréductibles défenseurs contre les envahisseurs viraux|http://www.jle.com/fr/revues/vir/e-docs/les_gtpases_mx_irreductibles_defenseurs_contre_les_envahisseurs_viraux_301492/article.phtml|2014|0|2|None|None|None|http://scholar.google.com/scholar?cluster=1730023190825929138&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé. Les protéines Mx appartiennent à la super famille des grandes GTPases apparentées aux dynamines. Elles sont induites par les interférons et inhibent une grande variété de virus en bloquant les étapes précoces de leur cycle de réplication. Des  ...","Sébastien Boisvert","2014","none"
"7","Connaissances et compétences des pharmaciens communautaires et qualité de la pharmacothérapie des patients atteints d'insuffisance rénale chronique: Résultats  …|http://www.pharmactuel.com/index.php/pharmactuel/article/view/929|2013|1|0|5356590667681179968|None|http://scholar.google.com/scholar?cites=5356590667681179968&as_sdt=2005&sciodt=1,5&hl=en|None|None|Résumé Objectif: Dans le cadre d'une analyse provisoire comprenant l'Hôpital de la Cité-de-la Santé de Laval et l'Hôpital Maisonneuve-Rosemont, évaluer les retombées d'un programme de formation et de liaison en néphrologie (ProFiL) sur les connaissances et  ...","Sébastien Boisvert","2014","none"
"8","Discovery and Characterization of a Novel Toxin from Dendroaspis Angusticeps, Named TX7335, with an Activating Effect on the Potassium Channel KscA|http://www.cell.com/biophysj/abstract/S0006-3495(12)01949-2|2013|0|2|None|None|None|http://scholar.google.com/scholar?cluster=18094165012067203984&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Due to their important role in essential physiological processes such as the propagation of the nerve signal or regulation of the heartbeat, potassium channels are common targets for animal toxins. These toxins provide valuable tools for the study of ion channel function  ...","Sébastien Boisvert","2014","none"
"9","Climate change projections using the IPSL-CM5 Earth System Model: from CMIP3 to CMIP5|http://link.springer.com/article/10.1007/s00382-012-1636-1|2013|251|23|6055484732587997398|None|http://scholar.google.com/scholar?cites=6055484732587997398&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=6055484732587997398&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract We present the global general circulation model IPSL-CM5 developed to study the long-term response of the climate system to natural and anthropogenic forcings as part of the 5th Phase of the Coupled Model Intercomparison Project (CMIP5). This model  ...","Sébastien Boisvert","2014","none"
"10","Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010|http://agris.fao.org/agris-search/search.do?recordID=US201500129909|2013|16|0|15403596161369931268|None|http://scholar.google.com/scholar?cites=15403596161369931268&as_sdt=2005&sciodt=1,5&hl=en|None|None|BACKGROUND: Non-fatal health outcomes from diseases and injuries are a crucial consideration in the promotion and monitoring of individual and population health. The Global Burden of Disease (GBD) studies done in 1990 and 2000 have been the only  ...","Sébastien Boisvert","2014","none"
"11","Acyl-lipid metabolism|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3563272/|2013|269|11|13478565476545655939|None|http://scholar.google.com/scholar?cites=13478565476545655939&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13478565476545655939&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Acyl lipids in Arabidopsis and all other plants have a myriad of diverse functions. These include providing the core diffusion barrier of the membranes that separates cells and subcellular organelles. This function alone involves more than 10 membrane lipid classes,  ...","Sébastien Boisvert","2014","none"
