"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Le mur d'images dans les enquêtes en ligne: comment stimuler pour observer et mesurer?|http://www.marketing-trends-congress.com/archives/2013/pages/PDF/662.pdf|2013|1|2|15729602305830889609|http://www.marketing-trends-congress.com/archives/2013/pages/PDF/662.pdf|http://scholar.google.com/scholar?cites=15729602305830889609&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=15729602305830889609&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé: Cet article vise à présenter une des méthodes de recherche mixte: la méthode de mur d'images, et de démontrer son intérêt et sa richesse pour la collecte des données. En effet, en se basant sur trois exemples d'enquêtes, une sorte de guide, ce travail présente  ...","Younès Messaddeq","2014","none"
"3","Unsaturated fatty acids induce non‐canonical autophagy|http://emboj.embopress.org/content/34/8/1025.abstract|2015|5|9|7952921018036122341|None|http://scholar.google.com/scholar?cites=7952921018036122341&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=7952921018036122341&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract To obtain mechanistic insights into the cross talk between lipolysis and autophagy, two key metabolic responses to starvation, we screened the autophagy‐inducing potential of a panel of fatty acids in human cancer cells. Both saturated and unsaturated fatty acids  ...","Younès Messaddeq","2014","none"
"4","Impact de la fatigue et du vieillissement hygrothermique en eau douce sur un composite unidirectionnel verre-époxy|http://www.ajol.info/index.php/srst/article/view/117774|2015|0|0|None|None|None|None|None|Abstract Le présent article contribue à mettre en relief l'impact de la fatigue en traction et du vieillissement naturel en eau douce sur deux composites, verre époxy. Deux séries d'essais ont été mises en place pour distinguer les effets de la fatigue et ceux du vieillissement  ...","Younès Messaddeq","2014","none"
"5","Mid-infrared supercontinuum generation in a suspended-core As 2 S 3 chalcogenide microstructured optical fiber|http://www.osapublishing.org/oe/fulltext.cfm?uri=oe-21-8-9573&id=252573|2013|38|9|9482774052739502635|None|http://scholar.google.com/scholar?cites=9482774052739502635&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=9482774052739502635&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract We demonstrate the supercontinuum (SC) generation in a suspended-core As 2 S 3 chalcogenide microstructured optical fiber (MOF). The variation of SC is investigated by changing the fiber length, pump peak power and pump wavelength. In the case of long  ...","Younès Messaddeq","2014","none"
"6","Facteurs sociodémographiques et recours aux soins pour raisons psychologiques chez les jeunes adultes|http://www.sciencedirect.com/science/article/pii/S0398762013002721|2013|1|2|3658465986995628772|None|http://scholar.google.com/scholar?cites=3658465986995628772&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=3658465986995628772&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Background Although young adults exhibit a high rate of psychiatric disorders, their rate of access to mental health care is low compared with older age groups. Our study examined the relationship between socio-demographic factors and the use of health care services  ...","Younès Messaddeq","2014","none"
"7","Resveratrol and curcumin enhance pancreatic β-cell function by inhibiting phosphodiesterase activity|http://joe.endocrinology-journals.org/content/223/2/107.short|2014|13|6|9052968812696118690|None|http://scholar.google.com/scholar?cites=9052968812696118690&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=9052968812696118690&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Resveratrol (RES) and curcumin (CUR) are polyphenols that are found in fruits and turmeric, and possess medicinal properties that are beneficial in various diseases, such as heart disease, cancer, and type 2 diabetes mellitus (T2DM). Results from recent studies  ...","Younès Messaddeq","2014","none"
"8","3.77 μm fiber laser based on cascaded Raman gain in a chalcogenide glass fiber|http://www.osapublishing.org/ol/fulltext.cfm?uri=ol-39-7-2052&id=282195|2014|17|5|13852265902030228934|None|http://scholar.google.com/scholar?cites=13852265902030228934&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13852265902030228934&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Laser emission is demonstrated at a wavelength of 3.766 μm in a cascaded Raman gain device. The laser cavity is made of two nested pairs of fiber Bragg gratings inscribed in a 2.8 m length of low-loss As 2 S 3 fiber. An erbium-doped fluoride glass quasi-CW fiber  ...","Younès Messaddeq","2014","none"
"9","Arabidopsis thaliana ggt1 photorespiratory mutants maintain leaf carbon/nitrogen balance by reducing RuBisCO content and plant growth|http://onlinelibrary.wiley.com/doi/10.1111/tpj.12945/full|2015|0|0|None|None|None|None|None|Summary Metabolic and physiological analyses of glutamate: glyoxylate aminotransferase 1 (GGT1) mutants were performed at the global leaf scale to elucidate the mechanisms involved in their photorespiratory growth phenotype. Air-grown ggt1 mutants showed  ...","Younès Messaddeq","2014","none"
"10","Approximate Response Time Analysis for Thermal-Aware Real-Time Systems Under Fixed-Priority Scheduling and Reactive Control|http://scholar.google.com/https://hal-enpc.archives-ouvertes.fr/file/index/docid/1016114/filename/Approximate_Response_Time_Analysis_for_Thermal-Aware_Real-Time_Systems_Under_Fixed-Priority_Scheduling_and_Reactive_Control.pdf|2014|1|10|12350654011229322625|http://scholar.google.com/https://hal-enpc.archives-ouvertes.fr/file/index/docid/1016114/filename/Approximate_Response_Time_Analysis_for_Thermal-Aware_Real-Time_Systems_Under_Fixed-Priority_Scheduling_and_Reactive_Control.pdf|http://scholar.google.com/scholar?cites=12350654011229322625&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=12350654011229322625&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract This paper investigates schedulability analysis for thermal-aware real-time systems. Thermal constraints are becoming more and more critical in new generation miniaturized embedded systems, eg medical implants. As part of this work, we adapt the PFPASAP  ...","Younès Messaddeq","2014","none"
"11","Vacuum-induced phonon transfer between two solid dielectric materials: Illustrating the case of Casimir force coupling|http://journals.aps.org/prb/abstract/10.1103/PhysRevB.90.115433|2014|4|5|6305379216940029105|None|http://scholar.google.com/scholar?cites=6305379216940029105&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=6305379216940029105&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract The natural transition from the radiative regime to the conductive regime of heat transfer between two identical isotropic nonmagnetic dielectric solid materials is questioned by investigating the possibility of induced phonon transfer in vacuum. We describe the  ...","Younès Messaddeq","2014","none"
